조회일자,주문코드,지점명,상품코드,상품명,규격,수량,단위,단가,공급가,부가세,합계,대분류
2025-01-02,143742,역대짬뽕 다산1호점(14),134962,(쥬뗌)대왕오징어귀채(투명/역대짬뽕전용/칠레산)4kg,4Kg,3,BOX,23300,69900,0,69900,수산물류
2025-01-02,143742,역대짬뽕 다산1호점(14),140726,(쥬뗌)칼집대왕오징어(빨강/역대짬뽕전용)4kg,4Kg,6,BOX,34030,204180,0,204180,수산물류
2025-01-02,143748,역대짬뽕 장안본점(98),140447,(쥬뗌)냉동솔방울오징어(역대짬뽕전용/중국산)10kg,10kg,2,BOX,79000,158000,0,158000,수산물류
2025-01-02,143748,역대짬뽕 장안본점(98),140449,(쥬뗌)냉동쭈꾸미(6미/역대짬뽕전용/베트남/180g*12)BOX,(180g*12),2,BOX,23800,47600,0,47600,수산물류
2025-01-02,143748,역대짬뽕 장안본점(98),134962,(쥬뗌)대왕오징어귀채(투명/역대짬뽕전용/칠레산)4kg,4Kg,3,BOX,23300,69900,0,69900,수산물류
2025-01-02,143748,역대짬뽕 장안본점(98),140438,(쥬뗌)대왕오징어몸채(노랑/역대짬뽕전용/칠레산)4kg,4kg,3,BOX,33030,99090,0,99090,수산물류
2025-01-02,143748,역대짬뽕 장안본점(98),140427,(쥬뗌)생새우살(71-91/역대짬뽕전용/중국산/9kg)BOX,9kg,2,BOX,131000,262000,0,262000,수산물류
2025-01-02,143748,역대짬뽕 장안본점(98),140726,(쥬뗌)칼집대왕오징어(빨강/역대짬뽕전용)4kg,4Kg,3,BOX,34030,102090,0,102090,수산물류
2025-01-02,143748,역대짬뽕 장안본점(98),140428,(쥬뗌)흰다리새우살(31-40/역대/베트남)900g,900g*10,10,EA,16430,164300,0,164300,수산물류
2025-01-03,143741,역대짬뽕 세종점(수금)(IOI)(종료25.09),140425,(쥬뗌)갑오징어(역대짬뽕전용/베트남산/180g*12)BOX,(180g*12),2,BOX,23000,46000,0,46000,수산물류
2025-01-03,143741,역대짬뽕 세종점(수금)(IOI)(종료25.09),140441,(쥬뗌)건해삼채(하오/역대짬뽕전용)600g,600g*12,1,팩,79030,71845,7185,79030,수산물류
2025-01-03,143741,역대짬뽕 세종점(수금)(IOI)(종료25.09),140447,(쥬뗌)냉동솔방울오징어(역대짬뽕전용/중국산)10kg,10kg,2,BOX,79000,158000,0,158000,수산물류
2025-01-03,143741,역대짬뽕 세종점(수금)(IOI)(종료25.09),140688,(쥬뗌)냉동홍합살(역대짬뽕전용/중국산/(5kg*2)10kg/과세)BOX,10kg,2,BOX,51700,94000,9400,103400,수산물류
2025-01-03,143741,역대짬뽕 세종점(수금)(IOI)(종료25.09),134962,(쥬뗌)대왕오징어귀채(투명/역대짬뽕전용/칠레산)4kg,4Kg,6,BOX,23300,139800,0,139800,수산물류
2025-01-03,143741,역대짬뽕 세종점(수금)(IOI)(종료25.09),140438,(쥬뗌)대왕오징어몸채(노랑/역대짬뽕전용/칠레산)4kg,4kg,6,BOX,33030,198180,0,198180,수산물류
2025-01-03,143741,역대짬뽕 세종점(수금)(IOI)(종료25.09),140427,(쥬뗌)생새우살(71-91/역대짬뽕전용/중국산/9kg)BOX,9kg,1,BOX,131000,131000,0,131000,수산물류
2025-01-03,143741,역대짬뽕 세종점(수금)(IOI)(종료25.09),140451,(쥬뗌)통루비해삼(역대짬뽕전용/필리핀)650g,650g*12,2,EA,21250,38636,3864,42500,수산물류
2025-01-03,143741,역대짬뽕 세종점(수금)(IOI)(종료25.09),140428,(쥬뗌)흰다리새우살(31-40/역대/베트남)900g,900g*10,5,EA,16430,82150,0,82150,수산물류
2025-01-03,143742,역대짬뽕 다산1호점(14),140645,(쥬뗌)냉동바지락살(역대짬뽕전용/중국산/10kg/과세)BOX,10kg,1,BOX,44500,40455,4045,44500,수산물류
2025-01-03,143742,역대짬뽕 다산1호점(14),140449,(쥬뗌)냉동쭈꾸미(6미/역대짬뽕전용/베트남/180g*12)BOX,(180g*12),1,BOX,23800,23800,0,23800,수산물류
2025-01-03,143742,역대짬뽕 다산1호점(14),140688,(쥬뗌)냉동홍합살(역대짬뽕전용/중국산/(5kg*2)10kg/과세)BOX,10kg,1,BOX,51700,47000,4700,51700,수산물류
2025-01-03,143742,역대짬뽕 다산1호점(14),134962,(쥬뗌)대왕오징어귀채(투명/역대짬뽕전용/칠레산)4kg,4Kg,1,BOX,23300,23300,0,23300,수산물류
2025-01-03,143742,역대짬뽕 다산1호점(14),140726,(쥬뗌)칼집대왕오징어(빨강/역대짬뽕전용)4kg,4Kg,2,BOX,34030,68060,0,68060,수산물류
2025-01-03,143737,역대짬뽕 송탄점(99),140425,(쥬뗌)갑오징어(역대짬뽕전용/베트남산/180g*12)BOX,(180g*12),1,BOX,23000,23000,0,23000,수산물류
